"title","image_url","price","sku"
"Heddz","https://m.media-amazon.com/images/I/61FmoGReX0L._AC_UL320_.jpg","399","B0BL7LVZPV"
"Heddz","https://m.media-amazon.com/images/I/51qsxnMabTL._AC_UL320_.jpg","299","B09Z661185"
"PERKEY","https://m.media-amazon.com/images/I/51Hc0iztoXL._AC_UL320_.jpg","1598","B0FD7FLW7H"
"Karsaer","https://m.media-amazon.com/images/I/514ZmOlsh5L._AC_UL320_.jpg","1093","B0CH8F1DS3"
"LensKandy","https://m.media-amazon.com/images/I/51730rhOeLL._AC_UL320_.jpg","765","B0BSHCBHKX"
"LensKandy","https://m.media-amazon.com/images/I/51ofWjb5-SL._AC_UL320_.jpg","890","B0D1PD4MDG"
"LensKandy","https://m.media-amazon.com/images/I/41O9Kqum-xL._AC_UL320_.jpg","690","B0C66M3TN4"
"LensKandy","https://m.media-amazon.com/images/I/51U0pczpjEL._AC_UL320_.jpg","837","B0C7QQL1WK"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7RR9WS"
"LensKandy","https://m.media-amazon.com/images/I/51uoiePsd9L._AC_UL320_.jpg","690","B0C7QNNY79"
"LensKandy","https://m.media-amazon.com/images/I/31teDf32ofL._AC_UL320_.jpg","395","B0B9K8FJQH"
"LensKandy","https://m.media-amazon.com/images/I/61lnhj8LITL._AC_UL320_.jpg","745","B0D1PFHDG8"
"LensKandy","https://m.media-amazon.com/images/I/51dLwyxD+qL._AC_UL320_.jpg","940","B0BSGXW221"
"LensKandy","https://m.media-amazon.com/images/I/51-C7+bv28L._AC_UL320_.jpg","745","B0CD629GH5"
"LensKandy","https://m.media-amazon.com/images/I/513DHsLmtkL._AC_UL320_.jpg","695","B0CKJ66CV7"
"LensKandy","https://m.media-amazon.com/images/I/61dvFflKgzL._AC_UL320_.jpg","745","B0D1PD5D9R"
"LensKandy","https://m.media-amazon.com/images/I/51-JWjXRlYL._AC_UL320_.jpg","695","B0D1P88VCB"
"LensKandy","https://m.media-amazon.com/images/I/3192VhM4OuL._AC_UL320_.jpg","790","B0C7QP3YWX"
"LensKandy","https://m.media-amazon.com/images/I/31hBTF1VOYL._AC_UL320_.jpg","545","B0BHWX438P"
"LensKandy","https://m.media-amazon.com/images/I/512lSwLs3dL._AC_UL320_.jpg","767","B0BY6X84GP"
"Karsaer","https://m.media-amazon.com/images/I/51DILG9qooL._AC_UL320_.jpg","1199","B0DGXPC8FS"
"Karsaer","https://m.media-amazon.com/images/I/51XJKuM6rJL._AC_UL320_.jpg","1199","B0DGXKMG5Q"
"4Flaunt","https://m.media-amazon.com/images/I/519iTQUGu+L._AC_UL320_.jpg","498","B0DVQ33RD6"
"Dervin","https://m.media-amazon.com/images/I/71rJnI5WU4L._AC_UL320_.jpg","491.13","B0DZ2HXQ52"
"LensKandy","https://m.media-amazon.com/images/I/51kBPSXh3pL._AC_UL320_.jpg","795","B09SP5ZCKF"
"LensKandy","https://m.media-amazon.com/images/I/5176iZphV-L._AC_UL320_.jpg","845","B0D1P83RGJ"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7WKGDG"
"LensKandy","https://m.media-amazon.com/images/I/314Bwu0Q4ML._AC_UL320_.jpg","745","B0C3HC2NZP"
"LensKandy","https://m.media-amazon.com/images/I/41ByJED65ZL._AC_UL320_.jpg","850","B0B6PV7KRC"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7W8V1P"
"LensKandy","https://m.media-amazon.com/images/I/51iEa+-31XL._AC_UL320_.jpg","727","B0C7QS51XK"
"LensKandy","https://m.media-amazon.com/images/I/31yqZgiyiwL._AC_UL320_.jpg","540","B0B9KBHNRZ"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7W1N41"
"LensKandy","https://m.media-amazon.com/images/I/51-nrjGDMbL._AC_UL320_.jpg","832","B0C3XX93K8"
"LensKandy","https://m.media-amazon.com/images/I/516wiKmfNgL._AC_UL320_.jpg","740","B0BTTRVJ7K"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7SFTBF"
"LensKandy","https://m.media-amazon.com/images/I/61osXZToqYL._AC_UL320_.jpg","745","B0D1PF4C7S"
"LensKandy","https://m.media-amazon.com/images/I/41zvGsZC6QL._AC_UL320_.jpg","680","B0BZ7W4KVM"
"LensKandy","https://m.media-amazon.com/images/I/41MfX9GTvhL._AC_UL320_.jpg","732","B0BJC6G3MX"
"LensKandy","https://m.media-amazon.com/images/I/51qj5XvCi9L._AC_UL320_.jpg","795","B0BVWDXCFP"
"LensKandy","https://m.media-amazon.com/images/I/41hww+56H8L._AC_UL320_.jpg","780","B0BZ84FR12"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7WXP7N"
"LensKandy","https://m.media-amazon.com/images/I/51tOxcvEMqL._AC_UL320_.jpg","785","B0CKJ6KX3H"
"LensKandy","https://m.media-amazon.com/images/I/51dT2g-oT7L._AC_UL320_.jpg","745","B0BZ7YDWTS"
"LensKandy","https://m.media-amazon.com/images/I/51-C7+bv28L._AC_UL320_.jpg","745","B0CD611JF5"
"LensKandy","https://m.media-amazon.com/images/I/51N6YMSnZHL._AC_UL320_.jpg","658","B0CKJ4PL7N"
"LensKandy","https://m.media-amazon.com/images/I/51-C7+bv28L._AC_UL320_.jpg","745","B0CD618WGQ"
"LensKandy","https://m.media-amazon.com/images/I/41zvGsZC6QL._AC_UL320_.jpg","645","B0BZ7T18L2"
"LensKandy","https://m.media-amazon.com/images/I/61PeTEENemL._AC_UL320_.jpg","745","B0D1PDRY21"
"LensKandy","https://m.media-amazon.com/images/I/51hBDKbSz1L._AC_UL320_.jpg","732","B0B3HZBNDZ"
